Vente_ID;Date;Client;Ville;Produit;Quantite;Prix_Unitaire
V0379;05/09/2026;Mariama Sow;Dakar ;Clavier;10;367690
V0380;10/09/2026;Abdoulaye Gueye;Kaolack;Casque;8;34778
V0381;01/09/2026;Abdoulaye Gueye;DAKAR;Casque;6;382746
V0382;05/09/2026;Ousmane Ndiaye  ;Thiès;Laptop;8;462685
V0383;02/09/2026;Mariama Sow;TOUBA;Tablete;3;432958
V0384;07/09/2026;Awa Ndiaye;Saint-Louis;Ecran;5;438285
V0385;05/09/2026;  Cheikh Ba;Saint-Louis;Imprimante;8;217464
V0386;17/09/2026;Fatou Fall;dakar;Ecran;9;499336
V0387;25/09/2026;Fatou Fall;DAKAR;Souris;2;91206
V0388;16/09/2026;Abdoulaye Gueye;Kaolack;Laptop;5;218504
V0389;27/09/2026;Mariama Sow;Dakar ;Ecran;2;252199
V0390;17/09/2026;Ousmane Ndiaye  ;TOUBA;Imprimante;1;342180
V0391;14/09/2026;Ousmane Ndiaye  ;DAKAR;Disque dur;6;149080
V0392;02/09/2026;Awa Ndiaye;TOUBA;Ecran;8;458629
V0393;13/09/2026;Mamadou Diop;dakar;Laptop;1;321050
V0394;20/09/2026;Ousmane Ndiaye  ;Kaolack;Imprimante;3;45078
V0395;01/09/2026;  Cheikh Ba;DAKAR;Imprimante;6;242805
V0396;21/09/2026;Ousmane Ndiaye  ;Kaolack;Souris;2;36258
V0397;01/09/2026;  Cheikh Ba;DAKAR;Clavier;5;495095
V0398;03/09/2026;Abdoulaye Gueye;dakar;Ecran;6;233085
V0399;20/09/2026;Awa Ndiaye;Dakar;Souris;10;452660
V0400;18/09/2026;Awa Ndiaye;dakar;Souris;7;428830
V0401;09/09/2026;Mamadou Diop;TOUBA;Imprimante;4;490970
V0402;17/09/2026;Ousmane Ndiaye  ;Dakar ;Laptop;2;292928
V0403;12/09/2026;Mamadou Diop;Dakar ;Casque;9;232994
V0404;10/09/2026;Mariama Sow;Dakar;Souris;9;29562
V0405;04/09/2026;Mamadou Diop;DAKAR;Souris;5;373398
V0406;20/09/2026;  Cheikh Ba;Kaolack;Disque dur;6;36271
V0407;22/09/2026;Ousmane Ndiaye  ;Kaolack;Disque dur;7;30357
V0408;07/09/2026;Mariama Sow;Dakar;Casque;3;387585
V0409;16/09/2026;Mamadou Diop;TOUBA;Clavier;8;311597
V0410;15/09/2026;Abdoulaye Gueye;DAKAR;Tablete;8;240398
V0411;21/09/2026;  Cheikh Ba;TOUBA;Casque;6;14489
V0412;10/09/2026;Awa Ndiaye;Kaolack;Disque dur;10;177608
V0413;17/09/2026;Sokhna Diallo;DAKAR;Imprimante;9;167881
V0414;27/09/2026;Mariama Sow;DAKAR;Imprimante;7;81621
V0415;18/09/2026;Awa Ndiaye;dakar;Casque;3;340668
V0416;01/09/2026;Mariama Sow;DAKAR;Casque;2;327327
V0417;13/09/2026;Ousmane Ndiaye  ;Thiès;Laptop;10;214884
V0418;18/09/2026;Mamadou Diop;Thiès;Disque dur;8;431014
V0419;06/09/2026;Ousmane Ndiaye  ;Thiès;Laptop;5;321275
V0420;24/09/2026;Sokhna Diallo;Saint-Louis;Souris;5;245261
V0421;14/09/2026;Awa Ndiaye;Thiès;Ecran;1;484342
V0422;15/09/2026;Abdoulaye Gueye;DAKAR;Disque dur;7;140157
V0423;19/09/2026;Sokhna Diallo;Thiès;Clavier;7;226554
V0424;23/09/2026;Abdoulaye Gueye;Dakar;Clavier;3;226439
V0425;29/09/2026;Sokhna Diallo;TOUBA;Casque;3;138545
V0426;08/09/2026;Abdoulaye Gueye;Dakar ;Tablete;1;492002
V0427;11/09/2026;Fatou Fall;Dakar;Tablete;2;123174
V0428;02/09/2026;Awa Ndiaye;dakar;Imprimante;10;212232
V0429;27/09/2026;Fatou Fall;Saint-Louis;Imprimante;3;362245
V0430;14/09/2026;Awa Ndiaye;Saint-Louis;Clavier;4;227036
V0431;04/09/2026;Ousmane Ndiaye  ;Dakar ;Imprimante;1;73099
V0432;24/09/2026;Awa Ndiaye;DAKAR;Clavier;9;371349
V0433;18/09/2026;Mariama Sow;Thiès;Ecran;3;168141
V0434;26/09/2026;Abdoulaye Gueye;Dakar;Disque dur;10;425607
V0435;08/09/2026;Mariama Sow;TOUBA;Laptop;2;467966
V0436;27/09/2026;Mariama Sow;TOUBA;Ecran;8;112445
V0437;23/09/2026;Sokhna Diallo;dakar;Casque;3;231058
V0438;26/09/2026;Fatou Fall;Thiès;Clavier;2;293501
V0439;07/09/2026;Ousmane Ndiaye  ;Kaolack;Souris;2;129216
V0440;20/09/2026;Awa Ndiaye;Dakar;Tablete;5;16537
V0441;09/09/2026;  Cheikh Ba;Thiès;Clavier;10;478848
V0442;01/09/2026;Fatou Fall;dakar;Disque dur;3;258894
V0443;04/09/2026;  Cheikh Ba;dakar;Disque dur;2;72073
V0444;21/09/2026;  Cheikh Ba;Thiès;Disque dur;8;386251
V0445;05/09/2026;Fatou Fall;dakar;Tablete;7;175131
V0446;04/09/2026;  Cheikh Ba;dakar;Disque dur;6;47824
V0447;30/09/2026;  Cheikh Ba;DAKAR;Clavier;3;355899
V0448;22/09/2026;Ousmane Ndiaye  ;Kaolack;Casque;7;487938
V0449;02/09/2026;Abdoulaye Gueye;TOUBA;Tablete;1;29104
V0450;18/09/2026;Mamadou Diop;dakar;Souris;6;218080
V0451;12/09/2026;Fatou Fall;Kaolack;Ecran;5;202664
V0452;24/09/2026;Fatou Fall;Dakar;Imprimante;6;394837
V0453;27/09/2026;Fatou Fall;Kaolack;Clavier;2;425273
V0454;21/09/2026;Mariama Sow;Dakar;Souris;8;140044
V0455;20/09/2026;Fatou Fall;TOUBA;Ecran;1;300917
V0456;28/09/2026;  Cheikh Ba;Saint-Louis;Disque dur;9;110716
V0457;15/09/2026;Awa Ndiaye;TOUBA;Ecran;5;400576
V0458;08/09/2026;  Cheikh Ba;TOUBA;Clavier;2;363076
V0459;18/09/2026;Abdoulaye Gueye;TOUBA;Disque dur;5;227628
V0460;07/09/2026;Mamadou Diop;Kaolack;Ecran;10;75214
V0461;07/09/2026;Mariama Sow;Dakar ;Casque;4;108749
V0462;09/09/2026;Awa Ndiaye;Dakar;Souris;3;395057
V0463;02/09/2026;Awa Ndiaye;TOUBA;Imprimante;4;349096
V0464;12/09/2026;Awa Ndiaye;Dakar ;Souris;6;351939
V0465;24/09/2026;Mariama Sow;Dakar;Souris;5;177115
V0466;12/09/2026;Awa Ndiaye;TOUBA;Souris;1;52612
V0467;09/09/2026;  Cheikh Ba;Dakar ;Souris;10;397189
V0468;15/09/2026;Sokhna Diallo;TOUBA;Clavier;10;29531
V0469;09/09/2026;Sokhna Diallo;Kaolack;Souris;4;250481
V0470;30/09/2026;Ousmane Ndiaye  ;dakar;Tablete;5;106377
V0471;20/09/2026;  Cheikh Ba;dakar;Disque dur;8;487965
V0472;22/09/2026;  Cheikh Ba;Dakar;Disque dur;10;71568
V0473;03/09/2026;Ousmane Ndiaye  ;TOUBA;Imprimante;10;171176
V0474;25/09/2026;Awa Ndiaye;Kaolack;Clavier;10;70062
V0475;20/09/2026;Mamadou Diop;Saint-Louis;Imprimante;5;81310
V0476;21/09/2026;Sokhna Diallo;Thiès;Disque dur;8;457878
V0477;09/09/2026;Abdoulaye Gueye;Dakar;Tablete;3;216431
V0478;14/09/2026;Abdoulaye Gueye;Dakar ;Disque dur;10;283737
V0479;27/09/2026;  Cheikh Ba;Dakar ;Disque dur;4;295115
V0480;22/09/2026;Mamadou Diop;Thiès;Tablete;5;391378
V0481;11/09/2026;Abdoulaye Gueye;TOUBA;Tablete;2;195200
V0482;05/09/2026;Sokhna Diallo;Saint-Louis;Casque;9;128835
V0483;27/09/2026;Sokhna Diallo;Kaolack;Tablete;9;149681
V0484;03/09/2026;Sokhna Diallo;Thiès;Ecran;5;406676
V0485;01/09/2026;Abdoulaye Gueye;dakar;Disque dur;2;119303
V0486;13/09/2026;Awa Ndiaye;TOUBA;Clavier;6;383167
V0487;01/09/2026;Sokhna Diallo;Thiès;Laptop;9;207582
V0488;07/09/2026;Awa Ndiaye;Dakar;Casque;7;496754
V0489;16/09/2026;Ousmane Ndiaye  ;Kaolack;Ecran;5;400723
V0490;28/09/2026;Mariama Sow;Thiès;Laptop;7;28021
V0491;09/09/2026;Abdoulaye Gueye;Kaolack;Clavier;4;104104
V0492;23/09/2026;Sokhna Diallo;Kaolack;Souris;7;331727
V0493;04/09/2026;Sokhna Diallo;Dakar;Disque dur;6;23638
V0494;05/09/2026;Awa Ndiaye;Thiès;Tablete;6;139079
V0495;07/09/2026;  Cheikh Ba;dakar;Casque;4;10446
V0496;10/09/2026;Fatou Fall;Saint-Louis;Tablete;4;249445
V0497;01/09/2026;Fatou Fall;Dakar;Imprimante;9;436452
V0498;30/09/2026;Fatou Fall;dakar;Disque dur;7;87259
V0499;15/09/2026;Awa Ndiaye;Saint-Louis;Clavier;9;117526
V0500;09/09/2026;Ousmane Ndiaye  ;Saint-Louis;Disque dur;9;416057
V0501;11/09/2026;Ousmane Ndiaye  ;Dakar;Laptop;1;177705
V0502;18/09/2026;Mariama Sow;dakar;Ecran;2;409038
V0503;18/09/2026;Awa Ndiaye;Saint-Louis;Disque dur;10;277925
V0504;15/09/2026;Mamadou Diop;Dakar;Clavier;7;452022
V0505;27/09/2026;Ousmane Ndiaye  ;Dakar;Tablete;4;93348
V0506;04/09/2026;Awa Ndiaye;DAKAR;Souris;10;293316
V0507;28/09/2026;Mamadou Diop;Thiès;Laptop;5;278242
V0508;09/09/2026;Mariama Sow;DAKAR;Clavier;2;430106
V0509;25/09/2026;Mariama Sow;Kaolack;Laptop;4;290950
V0510;03/09/2026;Mariama Sow;Dakar ;Laptop;1;205390
V0511;08/09/2026;Ousmane Ndiaye  ;TOUBA;Ecran;5;152928
V0512;16/09/2026;Fatou Fall;Saint-Louis;Laptop;5;251404
V0513;13/09/2026;Mamadou Diop;Dakar ;Clavier;9;237173
V0514;21/09/2026;Awa Ndiaye;Saint-Louis;Souris;2;333866
V0515;11/09/2026;  Cheikh Ba;Saint-Louis;Casque;8;370578
V0516;30/09/2026;Mamadou Diop;dakar;Tablete;7;217300
V0517;20/09/2026;Mamadou Diop;dakar;Imprimante;3;238228
V0518;05/09/2026;Sokhna Diallo;Kaolack;Clavier;8;333821
V0519;16/09/2026;Ousmane Ndiaye  ;Saint-Louis;Clavier;7;216647
V0520;18/09/2026;Abdoulaye Gueye;Thiès;Disque dur;3;165060
V0521;19/09/2026;Awa Ndiaye;Dakar;Imprimante;10;90045
V0522;02/09/2026;Abdoulaye Gueye;Saint-Louis;Tablete;6;458320
V0523;09/09/2026;Abdoulaye Gueye;Saint-Louis;Disque dur;1;440839
V0524;10/09/2026;Abdoulaye Gueye;dakar;Tablete;7;98986
V0525;15/09/2026;Fatou Fall;Kaolack;Clavier;9;214968
V0526;05/09/2026;  Cheikh Ba;Kaolack;Clavier;7;330331
V0527;20/09/2026;Abdoulaye Gueye;DAKAR;Imprimante;7;432061
V0528;24/09/2026;  Cheikh Ba;DAKAR;Ecran;10;414786
V0529;26/09/2026;Abdoulaye Gueye;Kaolack;Souris;4;483412
V0530;19/09/2026;Sokhna Diallo;Saint-Louis;Tablete;8;354817
V0531;09/09/2026;Mariama Sow;Saint-Louis;Tablete;10;63284
V0532;26/09/2026;  Cheikh Ba;Thiès;Disque dur;6;50612

